tenure_in_months,number_of_referrals,total_revenue,contract,offer,online_security,premium_tech_support,device_protection_plan,customer_status
58,1,7188.02,One Year,None,Yes,Yes,No,Churned
10,1,975.5,Month-to-Month,Offer D,No,No,No,Churned
9,0,717.28,Month-to-Month,None,No,No,No,Stayed
6,1,647.16,Month-to-Month,None,No,No,No,Churned
69,7,8574.08,One Year,None,Yes,No,Yes,Stayed
66,0,7161.55,Two Year,None,Yes,No,No,Stayed
70,0,8842.3,One Year,Offer A,Yes,Yes,Yes,Churned
25,0,815.6,One Year,Offer C,No Internet,No Internet,No Internet,Churned
46,1,1983.38,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
54,7,6665.1,One Year,Offer B,Yes,Yes,Yes,Stayed
15,0,1918.6,Month-to-Month,None,Yes,Yes,Yes,Churned
12,0,297.1,Month-to-Month,Offer D,No Internet,No Internet,No Internet,Stayed
22,0,1098.85,Month-to-Month,None,No,No,No,Stayed
70,9,4038.29,Two Year,None,No,Yes,Yes,Stayed
30,0,3310.5,Month-to-Month,Offer C,Yes,No,Yes,Stayed
71,1,9108.9,One Year,Offer A,No,No,No,Stayed
30,2,870.95,One Year,None,No Internet,No Internet,No Internet,Stayed
4,5,486.98,Month-to-Month,Offer E,No,No,Yes,Churned
2,0,195.58,Month-to-Month,Offer E,No,No,Yes,Churned
10,0,298.1,One Year,None,No Internet,No Internet,No Internet,Stayed
4,0,419.0,One Year,Offer E,Yes,No,No,Stayed
52,0,2555.05,Two Year,Offer B,Yes,No,No,Stayed
5,0,333.2,Month-to-Month,None,No,No,No,Churned
8,1,188.46,Two Year,Offer E,No Internet,No Internet,No Internet,Stayed
19,0,1369.75,Month-to-Month,Offer D,No,Yes,Yes,Stayed
72,0,5171.77,Two Year,Offer A,Yes,Yes,Yes,Stayed
63,2,2298.9,One Year,Offer B,Yes,Yes,No,Stayed
66,1,3789.2,Two Year,None,Yes,Yes,Yes,Stayed
1,0,120.46,Month-to-Month,None,No,Yes,No,Churned
60,0,5682.4,One Year,None,No,No,Yes,Stayed
48,3,2196.3,One Year,None,Yes,No,Yes,Stayed
1,0,118.89,Month-to-Month,Offer E,No,No,Yes,Churned
15,0,2178.6,Month-to-Month,None,No,No,No,Churned
50,4,7134.3,Month-to-Month,Offer B,Yes,Yes,No,Stayed
72,10,8769.3,Two Year,Offer A,Yes,Yes,Yes,Stayed
46,0,5938.02,Month-to-Month,None,Yes,No,No,Stayed
72,4,8893.0,Two Year,None,Yes,Yes,Yes,Stayed
67,0,6313.04,Two Year,Offer A,Yes,Yes,No,Stayed
48,5,4299.42,Two Year,None,No,Yes,No,Stayed
72,0,10641.72,Two Year,None,Yes,Yes,Yes,Stayed
52,6,6504.13,One Year,Offer B,Yes,Yes,Yes,Stayed
67,1,6574.05,One Year,Offer A,No,No,No,Stayed
28,1,2698.9,Month-to-Month,Offer C,No,No,No,Churned
32,9,3110.51,Month-to-Month,Offer C,No,No,Yes,Stayed
27,2,2118.89,Month-to-Month,None,Yes,No,No,Churned
2,0,262.36,Month-to-Month,Offer E,No,No,No,Churned
9,0,970.81,Month-to-Month,None,No,Yes,Yes,Churned
50,10,5711.15,Two Year,Offer B,Yes,Yes,No,Stayed
71,1,3592.73,Two Year,None,No Internet,No Internet,No Internet,Stayed
32,2,3818.23,Month-to-Month,Offer C,No,No,No,Churned
16,10,1959.02,Month-to-Month,Offer D,Yes,No,Yes,Stayed
67,8,7909.83,Two Year,Offer A,No,Yes,Yes,Stayed
72,1,9206.23,Two Year,None,Yes,Yes,Yes,Stayed
3,0,132.74,Month-to-Month,Offer E,No Internet,No Internet,No Internet,Churned
23,1,1642.96,One Year,None,No Internet,No Internet,No Internet,Stayed
72,1,7119.75,Two Year,None,Yes,Yes,Yes,Stayed
7,9,465.7,Month-to-Month,Offer E,Yes,No,Yes,Stayed
8,10,487.58,Month-to-Month,Offer E,No,No,No,Stayed
66,9,3474.55,Two Year,Offer A,No,Yes,No,Stayed
5,0,285.15,Month-to-Month,Offer E,No Internet,No Internet,No Internet,Churned
49,0,7208.47,Month-to-Month,None,No,No,Yes,Churned
63,2,3651.48,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
12,1,355.9,Month-to-Month,Offer D,No,Yes,No,Stayed
27,5,2487.43,Month-to-Month,None,Yes,No,No,Stayed
35,0,3550.95,Month-to-Month,None,Yes,No,Yes,Stayed
54,7,4757.87,Month-to-Month,Offer B,No,Yes,Yes,Stayed
1,0,101.04,Month-to-Month,None,No,No,No,Churned
5,0,387.9,Month-to-Month,Offer E,No,Yes,Yes,Stayed
19,0,2085.86,One Year,None,No,Yes,No,Stayed
52,1,2526.99,Two Year,None,No,Yes,Yes,Stayed
72,8,4684.3,Two Year,None,Yes,Yes,Yes,Stayed
32,0,1081.84,Two Year,None,No Internet,No Internet,No Internet,Stayed
8,1,977.94,Month-to-Month,None,No,No,Yes,Churned
41,0,4211.35,One Year,Offer B,No,No,Yes,Stayed
5,0,191.1,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
11,0,502.6,One Year,None,Yes,Yes,No,Stayed
5,0,608.85,Month-to-Month,None,No,Yes,No,Churned
16,0,990.81,One Year,Offer D,No Internet,No Internet,No Internet,Stayed
71,0,7815.95,One Year,None,No,Yes,No,Stayed
11,0,422.6,One Year,None,No,Yes,Yes,Stayed
61,1,9019.18,Month-to-Month,None,No,No,No,Churned
71,2,7683.36,One Year,None,Yes,Yes,Yes,Stayed
9,0,545.46,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
6,0,549.56,Month-to-Month,None,Yes,No,No,Stayed
26,0,3314.69,Month-to-Month,None,No,No,No,Churned
6,0,364.78,Month-to-Month,Offer E,Yes,No,No,Stayed
11,0,1225.02,Month-to-Month,None,No,No,Yes,Stayed
1,1,124.22,Month-to-Month,None,No,No,No,Churned
49,10,1111.53,Two Year,None,No Internet,No Internet,No Internet,Stayed
53,0,7733.46,Two Year,Offer B,Yes,Yes,Yes,Stayed
23,1,3204.15,Month-to-Month,None,Yes,Yes,No,Churned
2,0,140.48,Month-to-Month,None,No,No,No,Churned
1,0,59.9,Month-to-Month,None,Yes,No,No,Churned
68,1,8302.09,Month-to-Month,None,No,No,No,Churned
8,0,976.22,Month-to-Month,None,No,No,Yes,Churned
70,9,8228.7,One Year,Offer A,No,No,Yes,Stayed
39,9,4509.86,One Year,Offer C,No,No,Yes,Stayed
1,0,87.47,Month-to-Month,None,No,No,No,Churned
3,0,405.84,Month-to-Month,None,No,Yes,No,Churned
60,8,7310.8,One Year,Offer B,No,No,Yes,Stayed
5,1,415.55,Month-to-Month,Offer E,No,No,No,Churned
3,0,261.36,Month-to-Month,Offer E,No,No,No,Churned
55,0,5513.47,One Year,None,Yes,Yes,No,Stayed
72,0,4390.25,Two Year,None,Yes,Yes,Yes,Stayed
72,7,5880.19,Two Year,Offer A,Yes,Yes,Yes,Stayed
41,0,5001.08,Month-to-Month,None,No,No,Yes,Churned
60,0,2386.04,Two Year,Offer B,Yes,No,Yes,Stayed
6,0,593.2,Month-to-Month,None,No,No,No,Churned
46,6,4946.3,Two Year,None,No,Yes,Yes,Stayed
15,0,361.55,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
58,1,6188.98,Month-to-Month,None,No,Yes,Yes,Churned
23,10,1209.57,Two Year,None,No Internet,No Internet,No Internet,Stayed
31,1,4397.75,Month-to-Month,Offer C,No,Yes,Yes,Churned
11,1,664.35,Month-to-Month,Offer D,No,No,No,Stayed
56,0,6676.78,Two Year,None,No,Yes,Yes,Stayed
25,0,793.45,Month-to-Month,Offer C,No Internet,No Internet,No Internet,Stayed
68,0,4669.6,Two Year,Offer A,Yes,Yes,Yes,Stayed
40,0,1871.45,Two Year,None,No Internet,No Internet,No Internet,Stayed
36,0,3954.96,Month-to-Month,None,No,No,No,Churned
32,0,4318.98,Month-to-Month,Offer C,Yes,Yes,No,Churned
71,10,6981.61,Two Year,Offer A,Yes,Yes,Yes,Stayed
17,2,1914.37,Month-to-Month,Offer D,No,No,Yes,Stayed
18,6,2040.97,Month-to-Month,Offer D,No,Yes,Yes,Stayed
37,0,3816.31,Month-to-Month,None,Yes,No,Yes,Stayed
28,6,2354.52,One Year,Offer C,No,No,No,Stayed
9,0,373.0,One Year,Offer E,Yes,No,Yes,Stayed
65,1,2939.35,Two Year,None,No Internet,No Internet,No Internet,Stayed
1,0,34.7,Month-to-Month,Offer E,No,No,No,Churned
36,3,4837.37,Month-to-Month,Offer C,Yes,No,No,Stayed
23,0,2828.34,Month-to-Month,None,No,Yes,No,Churned
22,9,2208.56,Month-to-Month,Offer D,Yes,Yes,No,Stayed
72,1,8275.39,Two Year,None,Yes,Yes,Yes,Stayed
17,7,1765.12,Month-to-Month,None,No,No,Yes,Churned
3,0,304.0,Month-to-Month,None,No,Yes,No,Churned
58,1,4562.56,One Year,Offer B,Yes,No,Yes,Churned
67,1,8430.35,Two Year,None,Yes,No,Yes,Stayed
34,0,4533.15,One Year,None,No,No,Yes,Stayed
10,0,242.9,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
69,0,7171.83,Two Year,Offer A,Yes,Yes,Yes,Stayed
40,0,2511.55,One Year,None,Yes,No,Yes,Stayed
20,0,1650.6,Month-to-Month,Offer D,Yes,No,Yes,Stayed
46,9,3152.85,Two Year,None,No Internet,No Internet,No Internet,Stayed
2,1,158.98,Month-to-Month,None,Yes,No,No,Churned
1,1,85.73,Month-to-Month,Offer E,No,No,No,Churned
72,7,8063.56,Two Year,None,Yes,No,Yes,Stayed
70,0,1875.55,Two Year,None,No Internet,No Internet,No Internet,Stayed
23,0,1320.54,Month-to-Month,Offer D,No,Yes,No,Stayed
36,4,4935.08,Month-to-Month,Offer C,No,No,No,Stayed
59,0,6202.64,Month-to-Month,None,No,No,No,Churned
67,0,4600.72,Two Year,Offer A,No Internet,No Internet,No Internet,Stayed
72,4,8152.01,Two Year,None,Yes,No,Yes,Stayed
37,0,4434.83,Month-to-Month,None,No,No,Yes,Churned
72,4,3189.42,Two Year,Offer A,No Internet,No Internet,No Internet,Stayed
72,10,3435.74,Two Year,Offer A,No Internet,No Internet,No Internet,Stayed
3,0,264.61,Month-to-Month,Offer E,No,No,No,Churned
54,0,7181.56,One Year,Offer B,No,No,No,Churned
60,1,7856.1,Month-to-Month,None,No,No,Yes,Churned
58,8,8727.75,One Year,Offer B,Yes,No,Yes,Stayed
31,1,3035.71,Month-to-Month,Offer C,No,No,No,Stayed
55,0,3851.25,Two Year,None,Yes,Yes,Yes,Stayed
1,0,70.93,Month-to-Month,Offer E,No,No,No,Churned
49,1,4994.24,Month-to-Month,Offer B,No,No,No,Stayed
8,0,215.2,Month-to-Month,None,No,No,No,Churned
39,0,4427.17,Two Year,None,No,No,Yes,Stayed
66,9,6917.31,Two Year,Offer A,Yes,No,Yes,Stayed
15,7,815.4,One Year,None,No Internet,No Internet,No Internet,Stayed
51,1,7511.27,One Year,Offer B,No,No,Yes,Stayed
9,0,511.89,Two Year,None,No,Yes,No,Stayed
1,0,36.41,Month-to-Month,Offer E,No Internet,No Internet,No Internet,Churned
25,0,605.8,One Year,Offer C,No Internet,No Internet,No Internet,Stayed
22,9,2921.61,Month-to-Month,None,No,No,Yes,Stayed
15,0,925.5,Month-to-Month,None,No,No,No,Stayed
28,1,3111.63,One Year,None,No,No,No,Churned
47,3,6500.15,Month-to-Month,Offer B,No,No,Yes,Stayed
67,0,6296.46,Two Year,Offer A,Yes,Yes,Yes,Stayed
18,0,1694.22,Month-to-Month,Offer D,No,No,No,Stayed
62,1,5842.6,Two Year,Offer B,No,Yes,Yes,Stayed
41,0,3516.46,One Year,None,No,No,Yes,Stayed
44,0,2949.58,Month-to-Month,Offer B,No,No,No,Stayed
53,0,6838.39,One Year,None,No,Yes,Yes,Stayed
48,4,2622.88,Two Year,None,No Internet,No Internet,No Internet,Stayed
54,2,8791.39,One Year,Offer B,Yes,Yes,Yes,Stayed
48,3,2285.0,Month-to-Month,None,Yes,No,Yes,Churned
24,0,3021.17,Month-to-Month,Offer C,No,No,No,Stayed
33,0,3801.15,Two Year,Offer C,No,Yes,No,Stayed
66,1,8366.45,Two Year,None,Yes,Yes,No,Stayed
13,0,550.4,Two Year,Offer D,No,Yes,Yes,Stayed
63,1,6282.35,Two Year,None,Yes,No,Yes,Stayed
23,0,2792.88,Month-to-Month,None,No,Yes,Yes,Churned
52,0,2536.74,Two Year,None,No Internet,No Internet,No Internet,Stayed
10,0,836.25,Month-to-Month,None,No,No,No,Stayed
72,10,2481.09,Two Year,None,No Internet,No Internet,No Internet,Stayed
29,0,4204.9,Month-to-Month,Offer C,No,Yes,Yes,Stayed
62,8,7722.78,One Year,Offer B,Yes,No,Yes,Stayed
41,1,3653.51,One Year,None,No,No,Yes,Churned
43,0,5478.44,Month-to-Month,Offer B,No,No,No,Churned
26,0,2779.78,Two Year,Offer C,No,Yes,Yes,Stayed
19,9,1945.97,Month-to-Month,Offer D,No,No,Yes,Stayed
72,8,5161.94,Two Year,None,No Internet,No Internet,No Internet,Stayed
45,0,6270.75,One Year,Offer B,No,No,Yes,Stayed
32,0,2507.59,One Year,None,No,No,No,Stayed
41,0,2686.06,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
65,4,4087.6,Two Year,None,No Internet,No Internet,No Internet,Stayed
55,0,7937.2,Month-to-Month,None,Yes,No,No,Churned
11,2,674.11,Two Year,Offer D,No Internet,No Internet,No Internet,Stayed
49,0,4089.89,Two Year,Offer B,No,Yes,Yes,Stayed
61,1,6867.8,Month-to-Month,None,Yes,Yes,Yes,Stayed
25,5,954.85,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
1,0,77.81,Month-to-Month,None,No,No,No,Churned
23,0,1713.9,One Year,Offer D,No,Yes,No,Stayed
21,0,2158.04,Month-to-Month,Offer D,No,No,No,Stayed
1,0,113.58,Month-to-Month,None,No,No,No,Churned
5,1,397.25,Month-to-Month,None,No,No,Yes,Churned
24,10,2501.54,One Year,Offer C,Yes,Yes,No,Stayed
27,0,2925.13,Month-to-Month,None,No,No,Yes,Churned
70,7,2217.35,Two Year,Offer A,No Internet,No Internet,No Internet,Stayed
5,0,561.3,Month-to-Month,None,No,No,Yes,Churned
46,1,3029.77,Two Year,None,No Internet,No Internet,No Internet,Stayed
57,9,2607.89,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
1,0,81.29,Month-to-Month,Offer E,No,No,No,Churned
60,3,7689.8,One Year,None,No,No,Yes,Stayed
37,6,2428.28,Two Year,None,Yes,Yes,Yes,Stayed
1,0,123.32,Month-to-Month,None,No,No,No,Churned
28,8,3015.44,One Year,None,No,No,Yes,Stayed
24,0,901.31,Two Year,None,No Internet,No Internet,No Internet,Stayed
62,0,7222.15,One Year,None,Yes,No,Yes,Stayed
18,0,551.95,One Year,Offer D,No Internet,No Internet,No Internet,Churned
5,0,326.3,Month-to-Month,None,Yes,Yes,No,Churned
20,9,1291.8,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
1,0,96.75,Month-to-Month,None,No,No,No,Churned
35,0,5020.5,One Year,None,No,No,Yes,Churned
52,0,2566.3,Two Year,None,No,Yes,Yes,Stayed
30,1,2768.85,Month-to-Month,Offer C,No,No,No,Churned
72,7,2962.0,Two Year,Offer A,Yes,No,Yes,Stayed
15,0,1842.35,Month-to-Month,Offer D,No,No,No,Churned
70,0,9749.4,Two Year,Offer A,Yes,Yes,Yes,Stayed
66,0,6498.82,Two Year,None,Yes,Yes,No,Stayed
55,6,6411.9,Two Year,None,No,No,No,Stayed
55,2,7319.8,Month-to-Month,Offer B,No,No,Yes,Churned
57,2,6885.22,One Year,None,No,No,Yes,Stayed
72,9,11347.5,Two Year,None,Yes,No,Yes,Stayed
28,3,1748.29,Month-to-Month,None,No Internet,No Internet,No Internet,Stayed
54,8,4957.17,Two Year,None,Yes,No,No,Stayed
24,6,1955.19,Two Year,Offer C,Yes,No,No,Stayed
12,0,468.36,Month-to-Month,Offer D,No Internet,No Internet,No Internet,Stayed
51,0,5228.89,One Year,None,No,No,No,Stayed
13,0,1415.4,Month-to-Month,None,No,Yes,No,Stayed
58,0,6802.21,Two Year,Offer B,No,Yes,Yes,Stayed
18,2,1766.56,One Year,Offer D,No,Yes,Yes,Stayed
29,6,1970.64,Two Year,Offer C,No Internet,No Internet,No Internet,Stayed
72,9,7003.13,Two Year,None,Yes,Yes,No,Stayed
71,9,2974.69,Two Year,Offer A,No Internet,No Internet,No Internet,Stayed
70,0,3058.15,Two Year,Offer A,Yes,Yes,Yes,Stayed
9,0,1002.08,Month-to-Month,None,No,No,No,Churned
20,5,2690.4,Month-to-Month,None,No,Yes,Yes,Stayed
69,0,7383.67,One Year,Offer A,Yes,Yes,Yes,Churned
63,0,7942.15,One Year,None,Yes,Yes,Yes,Stayed
7,0,549.78,Month-to-Month,None,Yes,No,Yes,Stayed
69,7,2960.1,Two Year,None,Yes,No,Yes,Stayed
5,1,335.25,Month-to-Month,Offer E,No Internet,No Internet,No Internet,Churned
9,0,944.75,Month-to-Month,None,No,No,Yes,Stayed
46,10,6886.81,Two Year,Offer B,Yes,Yes,Yes,Stayed
60,10,6890.0,One Year,Offer B,No,No,Yes,Stayed
27,1,3576.43,Month-to-Month,None,No,No,Yes,Churned
16,2,1820.18,Month-to-Month,Offer D,Yes,No,Yes,Stayed
22,4,1934.12,Month-to-Month,None,No,No,No,Churned
41,7,4534.48,One Year,Offer B,Yes,No,Yes,Stayed
4,0,460.43,Two Year,None,No,No,No,Stayed
24,0,3130.91,Month-to-Month,Offer C,No,No,Yes,Stayed
38,0,2384.27,Two Year,None,No Internet,No Internet,No Internet,Stayed
25,0,2539.15,Month-to-Month,None,Yes,Yes,Yes,Stayed
40,8,4695.81,Month-to-Month,Offer B,No,No,Yes,Stayed
8,0,664.86,Month-to-Month,None,Yes,No,No,Churned
13,1,774.6,Month-to-Month,Offer D,No Internet,No Internet,No Internet,Stayed
64,0,8173.62,Month-to-Month,None,Yes,No,Yes,Stayed
62,1,9295.26,Month-to-Month,None,No,No,Yes,Churned
20,0,2410.15,Month-to-Month,None,No,No,No,Stayed
14,1,667.7,Month-to-Month,Offer D,No,No,No,Churned
57,0,5954.38,Two Year,None,No,Yes,Yes,Stayed
12,0,1162.34,Month-to-Month,Offer D,Yes,No,No,Stayed
59,0,4033.88,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
59,4,5030.87,Two Year,Offer B,No,Yes,No,Stayed
53,0,2441.48,Two Year,Offer B,No Internet,No Internet,No Internet,Churned
45,3,5392.55,One Year,None,No,No,Yes,Stayed
50,5,1106.7,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
20,1,2181.45,Month-to-Month,Offer D,No,No,No,Churned
1,0,25.25,Month-to-Month,Offer E,No,No,No,Churned
70,1,4105.5,Two Year,None,No Internet,No Internet,No Internet,Stayed
1,1,25.05,Month-to-Month,Offer E,No,No,No,Churned
64,5,3147.5,Two Year,None,Yes,Yes,Yes,Churned
49,0,4633.22,Month-to-Month,None,No,No,No,Churned
28,0,3308.39,Month-to-Month,Offer C,Yes,No,No,Churned
72,1,11514.81,Two Year,None,Yes,Yes,Yes,Stayed
13,0,1473.24,Month-to-Month,None,No,No,No,Stayed
4,1,240.36,Month-to-Month,Offer E,No Internet,No Internet,No Internet,Stayed
53,0,1552.66,Two Year,Offer B,No Internet,No Internet,No Internet,Stayed
63,1,6361.5,Month-to-Month,Offer B,No,No,No,Stayed
10,0,299.05,Two Year,Offer D,No,Yes,No,Stayed
56,0,3863.47,One Year,None,No Internet,No Internet,No Internet,Stayed
10,0,747.0,Month-to-Month,Offer D,No,No,No,Churned
65,0,6276.05,One Year,Offer B,Yes,Yes,No,Stayed
21,0,840.1,Month-to-Month,None,Yes,No,No,Churned
29,5,1557.56,Two Year,Offer C,No Internet,No Internet,No Internet,Stayed
72,7,4511.01,Two Year,None,No Internet,No Internet,No Internet,Stayed
22,1,1979.65,One Year,None,Yes,Yes,Yes,Churned
23,0,2224.07,Month-to-Month,None,Yes,No,No,Churned
40,0,3871.35,One Year,Offer B,No,Yes,No,Stayed
2,0,196.89,Month-to-Month,Offer E,No,No,No,Churned
13,5,1460.29,Month-to-Month,Offer D,Yes,No,No,Churned
16,0,1859.49,Month-to-Month,Offer D,No,No,Yes,Churned
67,0,9398.75,Month-to-Month,Offer A,Yes,No,Yes,Churned
72,3,1904.15,Two Year,Offer A,No Internet,No Internet,No Internet,Stayed
47,1,5716.42,Month-to-Month,None,Yes,No,No,Churned
4,0,318.57,Month-to-Month,Offer E,No,No,No,Stayed
18,0,1494.63,Two Year,None,No,No,No,Stayed
21,1,3053.6,Month-to-Month,Offer D,No,No,Yes,Churned
62,5,6870.55,One Year,None,Yes,Yes,Yes,Stayed
7,0,777.75,Month-to-Month,Offer E,No,No,Yes,Churned
29,0,1615.44,Month-to-Month,Offer C,No,No,Yes,Stayed
